order_id,order_item_id,product_id,seller_id,price,freight_value
00010242fe8c5a6d1ba2dd792cb16214,1,1e9e8ef04dbcff4541ed26657ea517e5,48436dade18ac8b2bce089ec2a041202,58.90,13.29
00018f77f2f0320c557190d7a144bdd3,1,53759a2ecddad2bb87a079a1f1519f73,9d7a1d34a5052409006425275ba1c2b4,239.90,19.93
000229ec398224ef6ca0657da4fc703e,1,c777355d18b72b67abbeef9df44fd0fd,6560211a19b47992c3666cc44a7e94c0,199.00,17.87
000229ec398224ef6ca0657da4fc703e,2,ac6c3623068f30de03045865e4e10089,9d7a1d34a5052409006425275ba1c2b4,12.99,12.79
00024acbcdf0a6daa1e931b038114c75,1,368c6c730842d78016ad823897a372db,8b321bb669392838a6a0f5a0f5a5a0a5,149.99,19.77
0002d0c0a3b74f2e8c5c3c4d5e6f7a8b,1,2f4a1a0f3c6e8d9b5a7c4e6f8a0b2d4e,7c6e5d4f3a2b1c0d9e8f7a6b5c4d3e2f,89.90,15.50
0003e1d1b4c85a3f9d6d4d5e6f7a8b9c,1,3a5b2c7d8e9f0a1b2c3d4e5f6a7b8c9d,8d7f6e5a4b3c2d1e0f9a8b7c6d5e4f3a,129.00,18.25
0004f2e2c5d96b4a0e7e5e6f7a8b9c0d,1,4b6c3d8e9f0a1b2c3d4e5f6a7b8c9d0e,9e8a7b6c5d4e3f2a1b0c9d8e7f6a5b4c,299.90,22.40
000503f3d6e07c5b1f8f6f7a8b9c0d1e,1,5c7d4e9f0a1b2c3d4e5f6a7b8c9d0e1f,0f9b8a7c6d5e4f3a2b1c0d9e8f7a6b5c,45.90,11.30
000614a4e7f18d6c2a9a7a8b9c0d1e2f,1,6d8e5f0a1b2c3d4e5f6a7b8c9d0e1f2a,1a0c9b8d7e6f5a4b3c2d1e0f9a8b7c6d,179.00,16.85
000725b5f8a29e7d3b0b8b9c0d1e2f3a,1,7e9f6a1b2c3d4e5f6a7b8c9d0e1f2a3b,2b1d0c9e8f7a6b5c4d3e2f1a0b9c8d7e,99.99,14.20
000836c6a9b3af8e4c1c9c0d1e2f3a4b,1,8f0a7b2c3d4e5f6a7b8c9d0e1f2a3b4c,3c2e1d0f9a8b7c6d5e4f3a2b1c0d9e8f,64.90,12.75
000947d7b0c4ba9f5d2d0d1e2f3a4b5c,1,9a1b8c3d4e5f6a7b8c9d0e1f2a3b4c5d,4d3f2e1a0b9c8d7e6f5a4b3c2d1e0f9a,189.90,17.45
000a58e8c1d5cb0a6e3e1e2f3a4b5c6d,1,0b2c9d4e5f6a7b8c9d0e1f2a3b4c5d6e,5e4a3f2b1c0d9e8f7a6b5c4d3e2f1a0b,34.90,10.50
000b69f9d2e6dc1b7f4f2f3a4b5c6d7e,1,1c3d0e5f6a7b8c9d0e1f2a3b4c5d6e7f,6f5b4a3c2d1e0f9a8b7c6d5e4f3a2b1c,259.00,20.80
000c7aa0e3f7ed2c8a5a3a4b5c6d7e8f,1,2d4e1f6a7b8c9d0e1f2a3b4c5d6e7f8a,7a6c5b4d3e2f1a0b9c8d7e6f5a4b3c2d,119.90,15.90
00010242fe8c5a6d1ba2dd792cb16215,1,1e9e8ef04dbcff4541ed26657ea517e5,48436dade18ac8b2bce089ec2a041202,68.90,14.50
00018f77f2f0320c557190d7a144bdd4,1,53759a2ecddad2bb87a079a1f1519f73,9d7a1d34a5052409006425275ba1c2b4,249.00,20.30
00018f77f2f0320c557190d7a144bdd4,2,ac6c3623068f30de03045865e4e10089,9d7a1d34a5052409006425275ba1c2b4,29.90,13.15
000229ec398224ef6ca0657da4fc703f,1,c777355d18b72b67abbeef9df44fd0fd,6560211a19b47992c3666cc44a7e94c0,209.00,18.25
0002d0c0a3b74f2e8c5c3c4d5e6f7a8c,1,2f4a1a0f3c6e8d9b5a7c4e6f8a0b2d4e,7c6e5d4f3a2b1c0d9e8f7a6b5c4d3e2f,95.50,16.20
0003e1d1b4c85a3f9d6d4d5e6f7a8b9d,1,3a5b2c7d8e9f0a1b2c3d4e5f6a7b8c9d,8d7f6e5a4b3c2d1e0f9a8b7c6d5e4f3a,139.90,19.00
0003e1d1b4c85a3f9d6d4d5e6f7a8b9d,2,4b6c3d8e9f0a1b2c3d4e5f6a7b8c9d0e,9e8a7b6c5d4e3f2a1b0c9d8e7f6a5b4c,79.90,14.85
