order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,2017-10-02 10:56:33,2017-10-02 11:07:15,2017-10-04 19:55:00,2017-10-10 21:25:13,2017-10-18 00:00:00
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,2018-07-24 20:41:37,2018-07-26 03:24:27,2018-07-26 14:31:00,2018-08-07 15:27:45,2018-08-13 00:00:00
47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,delivered,2018-08-08 08:38:49,2018-08-08 10:58:18,2018-08-08 13:50:00,2018-08-17 18:06:29,2018-09-04 00:00:00
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,2017-11-18 19:28:06,2017-11-18 19:45:59,2017-11-22 13:39:59,2017-12-02 13:25:17,2017-12-15 00:00:00
ad21c59c0840e6cb83a9ceb5573f8159,8ab97904e6daea8866dbdbc4fb7aad2c,delivered,2018-02-13 21:18:39,2018-02-13 22:20:29,2018-02-14 19:46:34,2018-02-16 18:17:02,2018-03-02 00:00:00
a24f30a12e8b40b86e3ba6d2a83dd7c8,f2b7c2b7b1ad1a4b71e91e83b6f5a4f6,delivered,2017-05-15 14:32:15,2017-05-15 15:45:22,2017-05-18 09:12:33,2017-05-25 16:28:19,2017-06-02 00:00:00
e9723d0b7e45df6e14b2b8d7e0b8a8c6,d8f9e2c7b6a5e4d3c2b1a9e8f7d6c5b4,shipped,2018-01-10 08:15:42,2018-01-10 09:30:15,2018-01-12 14:22:18,,2018-01-25 00:00:00
f8b2d5e9c3a7f1e4b6d8c2a9e5f7b3d1,c5b8e2f9d6a3c7e1b4f8d2a6e9c3b7f5,cancelled,2017-09-22 16:45:30,2017-09-22 17:12:45,,,2017-10-08 00:00:00
b7c4e1f8d5a2c9e6b3f7d4a8c1e5b9f2,a8f2c5e9b6d3a7c4f1e8b2d6a9c5e7f3,delivered,2018-03-05 11:22:17,2018-03-05 12:18:33,2018-03-07 15:45:22,2018-03-15 09:33:44,2018-03-22 00:00:00
d3f7a1c8e5b9f2d6a4c7e1b8f3d9a5c2,e7b3f6a9c2d5e8b1f4a7c3e6b9f2d8a4,delivered,2017-12-08 13:55:28,2017-12-08 14:22:45,2017-12-11 16:18:33,2017-12-20 11:45:22,2017-12-28 00:00:00
c6a9e2f5b8d1c4e7a3f6b9c2e5d8a1f4,f4a7c1e8b5d2a6c9e3f7b4a8c1e5d9f2,delivered,2018-06-12 09:18:45,2018-06-12 10:33:22,2018-06-14 13:27:18,2018-06-22 15:12:33,2018-06-29 00:00:00
a5c8e1f4b7d3a6c9e2f5b8d1a4c7e3f6,b8d4a7c1e5f9b2d6a3c8e4f7b1d5a9c2,shipped,2017-08-18 14:27:33,2017-08-18 15:45:12,2017-08-21 10:33:45,,2017-09-05 00:00:00
e9f2c5a8d1b4e7c3f6a9d2b5e8c1f4a7,d1b5e8c2f6a9d3b7e4c8f1a5d9b2e6c4,delivered,2018-04-28 16:33:22,2018-04-28 17:18:45,2018-05-01 14:22:33,2018-05-08 12:45:18,2018-05-15 00:00:00
f7b3e6a9c2d5f8b1e4a7c3f6b9d2e5c8,c2f6a9d3e7b4c8f1a5d9c2e6b4f7a3d1,delivered,2017-07-03 12:45:18,2017-07-03 13:22:33,2017-07-06 09:18:45,2017-07-14 16:33:22,2017-07-21 00:00:00
b4e7c1f5a8d2b6e9c3f7a4d8b1e5c9f2,a8d2b6e9c3f7a4d8b1e5c9f2a6d3b7e4,cancelled,2018-11-15 18:22:45,2018-11-15 19:33:18,,,2018-12-01 00:00:00
d8a1e4f7b3c6d9a2e5f8b4c7d1a6e9f3,e4f7b3c6d9a2e5f8b4c7d1a6e9f3c5b8,delivered,2017-10-22 10:18:33,2017-10-22 11:45:22,2017-10-25 15:27:18,2017-11-02 13:33:45,2017-11-10 00:00:00
c5b8e2f9d6a3c7e1b4f8d2a6e9c3b7f5,f9d6a3c7e1b4f8d2a6e9c3b7f5d8a2e6,delivered,2018-09-07 15:27:18,2018-09-07 16:18:33,2018-09-10 12:45:22,2018-09-18 14:27:33,2018-09-25 00:00:00
a7c4e1f8b5d2a6c9e3f7b4a8c1e5d9f2,e1f8b5d2a6c9e3f7b4a8c1e5d9f2c6a3,shipped,2017-06-14 08:33:45,2017-06-14 09:22:18,2017-06-17 11:45:33,,2017-07-01 00:00:00
f2d5e8c1b4f7d3a6e9c2f5b8d1a4c7e3,d5e8c1b4f7d3a6e9c2f5b8d1a4c7e3f6,delivered,2018-12-20 11:45:22,2018-12-20 12:33:18,2018-12-22 14:18:45,2018-12-28 16:27:33,2019-01-05 00:00:00
b6e9c2f5d8a1b4e7c3f6d9a2e5c8f1b4,e9c2f5d8a1b4e7c3f6d9a2e5c8f1b4e7,delivered,2017-04-10 13:22:33,2017-04-10 14:18:45,2017-04-13 16:33:22,2017-04-21 10:45:18,2017-04-28 00:00:00
a9d2e5c8f1b4a7c3e6d9a2f5c8e1b4d7,d2e5c8f1b4a7c3e6d9a2f5c8e1b4d7a3,delivered,2018-05-18 09:18:45,2018-05-18 10:27:33,2018-05-21 13:45:22,2018-05-28 15:33:18,2018-06-04 00:00:00
c8f1b4e7a3d6c9e2f5b8c1a4e7d3f6b9,f1b4e7a3d6c9e2f5b8c1a4e7d3f6b9c2,cancelled,2017-11-30 17:33:18,2017-11-30 18:22:45,,,2017-12-16 00:00:00
e5a8d1f4c7b3e6a9d2f5c8e1a4d7b3f6,a8d1f4c7b3e6a9d2f5c8e1a4d7b3f6e9,delivered,2018-01-25 14:27:33,2018-01-25 15:18:45,2018-01-28 11:33:22,2018-02-05 16:45:18,2018-02-12 00:00:00
b7c4f1e8a5d2b6c9f3e7b4c1f8a5d9c2,c4f1e8a5d2b6c9f3e7b4c1f8a5d9c2e6,delivered,2017-09-12 16:45:18,2017-09-12 17:33:22,2017-09-15 13:18:45,2017-09-23 14:27:33,2017-09-30 00:00:00
d3e6b9c2f5d8a1e4b7c3f6d9a2e5c8f1,e6b9c2f5d8a1e4b7c3f6d9a2e5c8f1b4,shipped,2018-07-08 12:33:18,2018-07-08 13:45:22,2018-07-11 15:27:18,,2018-07-25 00:00:00
f9a2c5e8b1f4a7c3e6b9f2c5e8a1f4d7,a2c5e8b1f4a7c3e6b9f2c5e8a1f4d7b3,delivered,2017-12-15 10:18:45,2017-12-15 11:27:33,2017-12-18 14:33:22,2017-12-26 12:45:18,2018-01-02 00:00:00
c1e4b7f3a6c9e2d5c8f1b4e7a3d6c9f2,e4b7f3a6c9e2d5c8f1b4e7a3d6c9f2e5,delivered,2018-03-22 15:45:22,2018-03-22 16:33:18,2018-03-25 12:18:45,2018-04-02 14:27:33,2018-04-09 00:00:00
a6d9c2f5a8e1b4d7c3f6a9c2e5d8f1b4,d9c2f5a8e1b4d7c3f6a9c2e5d8f1b4e7,cancelled,2017-08-05 11:27:33,2017-08-05 12:18:45,,,2017-08-21 00:00:00
e8b1f4c7a3e6d9b2f5c8e1a4d7b3f6c9,b1f4c7a3e6d9b2f5c8e1a4d7b3f6c9e2,delivered,2018-10-10 13:33:22,2018-10-10 14:45:18,2018-10-13 16:27:33,2018-10-21 11:18:45,2018-10-28 00:00:00
